run_id,ld,s,tp,rmse,train_data
1_1,32,24000,0.0,0.0061736303192081315,True
1_1,32,24000,0.01,0.006166137287118599,True
1_1,32,24000,0.02,0.006230294889956692,True
1_1,32,24000,0.03,0.006179740448974963,True
1_1,32,24000,0.04,0.006198502645038371,True
1_1,32,24000,0.05,0.006202758142708507,True
1_1,32,24000,0.06,0.006252279286297127,True
1_1,32,24000,0.07,0.0062834730900827385,True
1_1,32,24000,0.08,0.006371058130807366,True
1_1,32,24000,0.09,0.0064357998821098225,True
1_1,32,24000,0.1,0.006596928126634211,True
1_1,32,24000,0.11,0.007048486013381337,True
1_1,32,24000,0.12,0.007731059453336268,True
1_1,32,24000,0.13,0.007672317042237084,True
1_1,32,24000,0.14,0.007670148498731988,True
1_1,32,24000,0.15,0.008747833505553342,True
1_1,32,24000,0.16,0.008241284567936276,True
1_1,32,24000,0.17,0.007572186103840193,True
1_1,32,24000,0.18,0.007070054148653594,True
1_1,32,24000,0.19,0.007043136168143515,True
1_1,32,24000,0.2,0.007086324396966271,True
1_1,32,24000,0.21,0.007203450837674452,True
1_1,32,24000,0.22,0.00739900289196976,True
1_1,32,24000,0.23,0.007913344141195808,True
1_1,32,24000,0.24,0.008311771042111216,True
1_1,32,24000,0.25,0.009273966570612985,True
1_1,32,24000,0.26,0.010497888072052057,True
1_1,32,24000,0.27,0.013029432432128014,True
1_1,32,24000,0.28,0.013608481113270761,True
1_1,32,24000,0.29,0.013409938126119134,True
1_1,32,24000,0.3,0.01598654855095196,True
1_1,32,24000,0.31,0.014256891014542703,True
1_1,32,24000,0.32,0.013800825736657838,True
1_1,32,24000,0.33,0.012779190112460568,True
1_1,32,24000,0.34,0.005718470501094814,True
1_1,32,24000,0.35,0.007054289456724567,True
1_1,32,24000,0.36,0.007120330978106857,True
1_1,32,24000,0.37,0.006861748651048913,True
1_1,32,24000,0.38,0.006269037531183257,True
1_1,32,24000,0.39,0.005902340432513879,True
1_1,32,24000,0.4,0.005733425554458909,True
1_1,32,24000,0.41,0.005675541171933068,True
1_1,32,24000,0.42,0.005686968624593484,True
1_1,32,24000,0.43,0.00576016649600931,True
1_1,32,24000,0.44,0.005888480450745538,True
1_1,32,24000,0.45,0.0060634469295879545,True
1_1,32,24000,0.46,0.006300307179377551,True
1_1,32,24000,0.47,0.006393996306516988,True
1_1,32,24000,0.48,0.00614408808956996,True
1_1,32,24000,0.49,0.005780932446381677,True
1_1,32,24000,0.5,0.005533710028429815,True
