run_id,ld,s,tp,rmse,train_data
2_1_1,24,24000,0.0,0.010368327352869283,True
2_1_1,24,24000,0.01,0.010217668332137018,True
2_1_1,24,24000,0.02,0.010571431485930437,False
2_1_1,24,24000,0.03,0.009855060542567141,False
2_1_1,24,24000,0.04,0.009606298019462795,True
2_1_1,24,24000,0.05,0.009158532786681836,False
2_1_1,24,24000,0.06,0.008952192134582856,False
2_1_1,24,24000,0.07,0.008682641209574357,True
2_1_1,24,24000,0.08,0.008964076257667531,True
2_1_1,24,24000,0.09,0.009832047918866847,True
2_1_1,24,24000,0.1,0.011767898639713975,True
2_1_1,24,24000,0.11,0.014867977809431653,True
2_1_1,24,24000,0.12,0.018752734736901446,True
2_1_1,24,24000,0.13,0.022307768141225023,True
2_1_1,24,24000,0.14,0.026644683703557933,True
2_1_1,24,24000,0.15,0.03286951105160689,True
2_1_1,24,24000,0.16,0.034505468560313446,True
2_1_1,24,24000,0.17,0.03486666914983723,False
2_1_1,24,24000,0.18,0.0364392955571276,True
2_1_1,24,24000,0.19,0.044866951746690545,True
2_1_1,24,24000,0.2,0.05640126871898589,False
2_1_1,24,24000,0.21,0.062439517196006544,False
2_1_1,24,24000,0.22,0.06390284906212197,False
2_1_1,24,24000,0.23,0.06797900832372669,False
2_1_1,24,24000,0.24,0.07509445077556488,False
2_1_1,24,24000,0.25,0.09061276385878814,False
2_1_1,24,24000,0.26,0.10208064834021313,False
2_1_1,24,24000,0.27,0.10846822820210733,False
2_1_1,24,24000,0.28,0.11080358507106539,False
2_1_1,24,24000,0.29,0.11172486364290464,False
2_1_1,24,24000,0.3,0.12038616183834036,False
2_1_1,24,24000,0.31,0.12123191110651088,False
2_1_1,24,24000,0.32,0.11834899436903303,False
2_1_1,24,24000,0.33,0.10982057561105504,True
2_1_1,24,24000,0.34,0.06420891262940091,False
2_1_1,24,24000,0.35,0.06572388278194838,False
2_1_1,24,24000,0.36,0.06651335358523358,True
2_1_1,24,24000,0.37,0.06949131052299494,True
2_1_1,24,24000,0.38,0.06364019834732028,True
2_1_1,24,24000,0.39,0.05602146330774282,True
2_1_1,24,24000,0.4,0.06121398300330188,True
2_1_1,24,24000,0.41,0.062145931274808885,True
2_1_1,24,24000,0.42,0.047916638150070884,True
2_1_1,24,24000,0.43,0.03966781280177241,True
2_1_1,24,24000,0.44,0.03233000757799353,True
2_1_1,24,24000,0.45,0.021858045128933388,True
2_1_1,24,24000,0.46,0.012544034477490426,True
2_1_1,24,24000,0.47,0.010163561346304029,True
2_1_1,24,24000,0.48,0.00912848483591026,True
2_1_1,24,24000,0.49,0.00798855474343777,False
2_1_1,24,24000,0.5,0.006659889036775187,True
