tp,rmse,train_data,run_id,ld,s,seed,contrastive,train_phase
0.0,0.0071087724455622,True,3_2,32,24000,123,False,True
0.01,0.0070552090283993,True,3_2,32,24000,123,False,True
0.02,0.0072412249504291,True,3_2,32,24000,123,False,True
0.03,0.0069587038176258,False,3_2,32,24000,123,False,True
0.04,0.0069133213537977,True,3_2,32,24000,123,False,True
0.05,0.0068304631837742,False,3_2,32,24000,123,False,True
0.06,0.0068841567012436,False,3_2,32,24000,123,False,True
0.07,0.0069848031072805,True,3_2,32,24000,123,False,True
0.08,0.0073410285254764,True,3_2,32,24000,123,False,True
0.09,0.0079487199577333,True,3_2,32,24000,123,False,True
0.1,0.0089813336050352,True,3_2,32,24000,123,False,True
0.11,0.0106447858706913,True,3_2,32,24000,123,False,True
0.12,0.012688814704551,True,3_2,32,24000,123,False,True
0.13,0.0147426209121584,True,3_2,32,24000,123,False,True
0.14,0.017610984311277,True,3_2,32,24000,123,False,True
0.15,0.0223246303894837,True,3_2,32,24000,123,False,True
0.16,0.0253205578540966,True,3_2,32,24000,123,False,True
0.17,0.0275608181760337,False,3_2,32,24000,123,False,True
0.18,0.0300417921190322,True,3_2,32,24000,123,False,True
0.19,0.035640568504099,True,3_2,32,24000,123,False,True
0.2,0.0436201896938996,False,3_2,32,24000,123,False,False
0.21,0.0511836106561331,False,3_2,32,24000,123,False,False
0.22,0.0578905672534449,False,3_2,32,24000,123,False,False
0.23,0.0670484710559243,False,3_2,32,24000,123,False,False
0.24,0.0766130178446563,False,3_2,32,24000,123,False,False
0.25,0.0916801417528352,False,3_2,32,24000,123,False,False
0.26,0.1046346354242318,False,3_2,32,24000,123,False,False
0.27,0.1159050187832207,False,3_2,32,24000,123,False,False
0.28,0.1223104652889867,False,3_2,32,24000,123,False,False
0.29,0.1262951099855734,False,3_2,32,24000,123,False,False
0.3,0.1392660692074417,False,3_2,32,24000,123,False,False
0.31,0.1423498029275165,False,3_2,32,24000,123,False,False
0.32,0.1402243311905774,False,3_2,32,24000,123,False,False
0.33,0.1295194438780646,False,3_2,32,24000,123,False,False
0.34,0.0722598308556398,False,3_2,32,24000,123,False,False
0.35,0.1191705982383862,False,3_2,32,24000,123,False,False
0.36,0.1217205308487001,False,3_2,32,24000,123,False,False
0.37,0.1241165660623758,False,3_2,32,24000,123,False,False
0.38,0.1036799291602369,False,3_2,32,24000,123,False,False
0.39,0.0823239652474784,False,3_2,32,24000,123,False,False
0.4,0.088332894034511,False,3_2,32,24000,123,False,False
0.41,0.0859032008748642,False,3_2,32,24000,123,False,False
0.42,0.0699340276628444,False,3_2,32,24000,123,False,False
0.43,0.0604638818882107,False,3_2,32,24000,123,False,False
0.44,0.0532522447856573,False,3_2,32,24000,123,False,False
0.45,0.0285012941589762,False,3_2,32,24000,123,False,False
0.46,0.0150039722458369,False,3_2,32,24000,123,False,False
0.47,0.0120368298902043,False,3_2,32,24000,123,False,False
0.48,0.0120036532897253,False,3_2,32,24000,123,False,False
0.49,0.011520583851109,False,3_2,32,24000,123,False,False
0.5,0.0110664371484691,False,3_2,32,24000,123,False,False
0.0,0.0066317068373604,True,2_1_1,32,24000,123,False,True
0.01,0.0066033887175099,True,2_1_1,32,24000,123,False,True
0.02,0.0067097914778005,False,2_1_1,32,24000,123,False,True
0.03,0.0065721538359435,False,2_1_1,32,24000,123,False,True
0.04,0.0065704749238661,True,2_1_1,32,24000,123,False,True
0.05,0.0065586882150344,False,2_1_1,32,24000,123,False,True
0.06,0.0066275681407907,False,2_1_1,32,24000,123,False,True
0.07,0.0066967617497295,True,2_1_1,32,24000,123,False,True
0.08,0.0068671024692924,True,2_1_1,32,24000,123,False,True
0.09,0.0070894202941046,True,2_1_1,32,24000,123,False,True
0.1,0.0075445313992248,True,2_1_1,32,24000,123,False,True
0.11,0.0083684609543938,True,2_1_1,32,24000,123,False,True
0.12,0.0094597054348077,True,2_1_1,32,24000,123,False,True
0.13,0.0102056738975792,True,2_1_1,32,24000,123,False,True
0.14,0.0117902076551559,True,2_1_1,32,24000,123,False,True
0.15,0.0141459602771878,True,2_1_1,32,24000,123,False,True
0.16,0.0157184131007369,True,2_1_1,32,24000,123,False,True
0.17,0.0169062077451559,False,2_1_1,32,24000,123,False,True
0.18,0.0178731241170947,True,2_1_1,32,24000,123,False,True
0.19,0.0211582487354125,True,2_1_1,32,24000,123,False,True
0.2,0.0258894617357515,False,2_1_1,32,24000,123,False,False
0.21,0.0286378380182188,False,2_1_1,32,24000,123,False,False
0.22,0.0301077741423812,False,2_1_1,32,24000,123,False,False
0.23,0.0335041911962716,False,2_1_1,32,24000,123,False,False
0.24,0.0378375903878621,False,2_1_1,32,24000,123,False,False
0.25,0.046614997742429,False,2_1_1,32,24000,123,False,False
0.26,0.05352236202291,False,2_1_1,32,24000,123,False,False
0.27,0.0587169659114668,False,2_1_1,32,24000,123,False,False
0.28,0.0599786401517583,False,2_1_1,32,24000,123,False,False
0.29,0.0594871592180083,False,2_1_1,32,24000,123,False,False
0.3,0.06428741514296,False,2_1_1,32,24000,123,False,False
0.31,0.0612184423133229,False,2_1_1,32,24000,123,False,False
0.32,0.0569375994121125,False,2_1_1,32,24000,123,False,False
0.33,0.0501498918183749,True,2_1_1,32,24000,123,False,True
0.34,0.0291747668289447,False,2_1_1,32,24000,123,False,True
0.35,0.0286386804605271,False,2_1_1,32,24000,123,False,True
0.36,0.0288667076555185,True,2_1_1,32,24000,123,False,True
0.37,0.0320384054237275,True,2_1_1,32,24000,123,False,True
0.38,0.0287079290624471,True,2_1_1,32,24000,123,False,True
0.39,0.0238380254932327,True,2_1_1,32,24000,123,False,True
0.4,0.026142334173843,True,2_1_1,32,24000,123,False,True
0.41,0.0293940075853341,True,2_1_1,32,24000,123,False,True
0.42,0.0235698253999607,True,2_1_1,32,24000,123,False,True
0.43,0.0196358327895169,True,2_1_1,32,24000,123,False,True
0.44,0.0167591026536652,True,2_1_1,32,24000,123,False,True
0.45,0.0116645583348381,True,2_1_1,32,24000,123,False,True
0.46,0.0080301224116122,True,2_1_1,32,24000,123,False,True
0.47,0.0070808301333122,True,2_1_1,32,24000,123,False,True
0.48,0.0066500476621289,True,2_1_1,32,24000,123,False,True
0.49,0.0060597556595962,False,2_1_1,32,24000,123,False,True
0.5,0.0054835548049802,True,2_1_1,32,24000,123,False,True
0.0,0.0131644091017939,False,3_1,32,24000,123,False,False
0.01,0.0128800549114103,False,3_1,32,24000,123,False,False
0.02,0.0145784655909597,False,3_1,32,24000,123,False,False
0.03,0.0130353170704766,False,3_1,32,24000,123,False,False
0.04,0.0133942885754771,False,3_1,32,24000,123,False,False
0.05,0.0131183702083727,False,3_1,32,24000,123,False,False
0.06,0.0144180302794,False,3_1,32,24000,123,False,False
0.07,0.0149903812183115,False,3_1,32,24000,123,False,False
0.08,0.0172447650806528,False,3_1,32,24000,123,False,False
0.09,0.0188699015589672,False,3_1,32,24000,123,False,False
0.1,0.0228982410902391,False,3_1,32,24000,123,False,False
0.11,0.0306496966081305,False,3_1,32,24000,123,False,False
0.12,0.0393301981605781,False,3_1,32,24000,123,False,False
0.13,0.0416849951427231,False,3_1,32,24000,123,False,False
0.14,0.0421773078777849,False,3_1,32,24000,123,False,False
0.15,0.0475276224161039,False,3_1,32,24000,123,False,False
0.16,0.0382473935367047,False,3_1,32,24000,123,False,False
0.17,0.0286801874753067,False,3_1,32,24000,123,False,False
0.18,0.0180987709105617,False,3_1,32,24000,123,False,False
0.19,0.0124760352370735,False,3_1,32,24000,123,False,False
0.2,0.0099864306528488,True,3_1,32,24000,123,False,True
0.21,0.0089737173357564,False,3_1,32,24000,123,False,True
0.22,0.008589639947017,True,3_1,32,24000,123,False,True
0.23,0.0085851273079696,True,3_1,32,24000,123,False,True
0.24,0.008651128179439,False,3_1,32,24000,123,False,True
0.25,0.0089991012408094,True,3_1,32,24000,123,False,True
0.26,0.0095228777887797,False,3_1,32,24000,123,False,True
0.27,0.0108355213462101,True,3_1,32,24000,123,False,True
0.28,0.0109774249110302,True,3_1,32,24000,123,False,True
0.29,0.0106313185582307,True,3_1,32,24000,123,False,True
0.3,0.0117938620285331,True,3_1,32,24000,123,False,True
0.31,0.0107144759840685,True,3_1,32,24000,123,False,True
0.32,0.0104492184218159,True,3_1,32,24000,123,False,True
0.33,0.0099462857151387,False,3_1,32,24000,123,False,False
0.34,0.0073222943543964,False,3_1,32,24000,123,False,False
0.35,0.0104370531255925,False,3_1,32,24000,123,False,False
0.36,0.0110825861075608,False,3_1,32,24000,123,False,False
0.37,0.0111647463820367,False,3_1,32,24000,123,False,False
0.38,0.0100042010871152,False,3_1,32,24000,123,False,False
0.39,0.0089766901879588,False,3_1,32,24000,123,False,False
0.4,0.0081765552263508,False,3_1,32,24000,123,False,False
0.41,0.0078413752621131,False,3_1,32,24000,123,False,False
0.42,0.0077256378583943,False,3_1,32,24000,123,False,False
0.43,0.0079376274816872,False,3_1,32,24000,123,False,False
0.44,0.008640922612297,False,3_1,32,24000,123,False,False
0.45,0.0103528727170067,False,3_1,32,24000,123,False,False
0.46,0.0142888228947498,False,3_1,32,24000,123,False,False
0.47,0.021687404401921,False,3_1,32,24000,123,False,False
0.48,0.0261057032946051,False,3_1,32,24000,123,False,False
0.49,0.028593348738604,False,3_1,32,24000,123,False,False
0.5,0.0316062514940994,False,3_1,32,24000,123,False,False
0.0,0.0255557236072476,True,2_1_1,16,24000,123,False,True
0.01,0.0253441261930422,True,2_1_1,16,24000,123,False,True
0.02,0.0258552577761251,False,2_1_1,16,24000,123,False,True
0.03,0.0248731517530871,False,2_1_1,16,24000,123,False,True
0.04,0.0246249054269442,True,2_1_1,16,24000,123,False,True
0.05,0.0241947069982136,False,2_1_1,16,24000,123,False,True
0.06,0.0244763720972832,False,2_1_1,16,24000,123,False,True
0.07,0.0250882685549971,True,2_1_1,16,24000,123,False,True
0.08,0.0270079613207256,True,2_1_1,16,24000,123,False,True
